epoch,running_loss,running_acc,lr,loss,acc,val_loss,val_acc
0,0.04795607551932335,0.98499995470047,0.001,0.1491653174161911,0.9539732336997986,0.10450749099254608,0.9799999594688416
1,0.03784817457199097,0.989166796207428,0.001,0.05007438734173775,0.984924852848053,0.18138854205608368,0.9799999594688416
2,0.04206327348947525,0.9887502193450928,0.001,0.03347816690802574,0.9893989562988281,0.16836389899253845,0.9799999594688416
3,0.03213723003864288,0.9904168248176575,0.001,0.025396544486284256,0.9918864369392395,0.0860191136598587,0.9899999499320984
4,0.018807046115398407,0.9945834279060364,0.001,0.018443638458848,0.9938063025474548,0.1532440334558487,0.9699999690055847
5,0.029551781713962555,0.9908334016799927,0.001,0.01593194156885147,0.9946911334991455,0.2107333540916443,0.949999988079071
6,0.010967131704092026,0.9962499141693115,0.001,0.01370968110859394,0.9959932565689087,0.2554709017276764,0.9599999785423279
7,0.008708653040230274,0.996666669845581,0.001,0.010118283331394196,0.9968447089195251,0.281749963760376,0.9799999594688416
8,0.008734378032386303,0.9962501525878906,0.001,0.008582714013755322,0.9973121285438538,0.23297953605651855,0.9699999690055847
9,0.014961227774620056,0.9962500333786011,0.001,0.0071006882935762405,0.997913122177124,0.20374652743339539,0.9899999499320984
