epoch,running_loss,running_acc,lr,loss,acc,val_loss,val_acc
0,0.13963164389133453,0.9558331966400146,0.001,0.26253777742385864,0.9191652536392212,0.5628411173820496,0.949999988079071
1,0.08711288869380951,0.9774999618530273,0.001,0.09456021338701248,0.9714022874832153,0.04598374664783478,0.9699999690055847
2,0.04126282036304474,0.9875000715255737,0.001,0.05984099954366684,0.9810349941253662,0.08050758391618729,0.9699999690055847
3,0.05484712868928909,0.9850000739097595,0.001,0.04372088238596916,0.9858931303024292,0.047801367938518524,0.9699999690055847
4,0.04596845060586929,0.9850001335144043,0.001,0.03186442330479622,0.9895492196083069,0.05020631477236748,0.9799999594688416
5,0.025511106476187706,0.9912500381469727,0.001,0.02385355532169342,0.9921368360519409,0.10315646231174469,0.9699999690055847
6,0.018301647156476974,0.9925000071525574,0.001,0.01822442188858986,0.9941068291664124,0.07163941860198975,0.9699999690055847
7,0.017256392166018486,0.9958335161209106,0.001,0.01610158011317253,0.9944740533828735,0.06047690659761429,0.9699999690055847
8,0.011117943562567234,0.9958333373069763,0.001,0.013021762482821941,0.9956259727478027,0.09078215062618256,0.9699999690055847
9,0.013549904339015484,0.9945834279060364,0.001,0.0100683169439435,0.9967445135116577,0.07589210569858551,0.9699999690055847
